seed,step,position,net_worth
456,767,-1.0,9889.898682972724
456,768,-1.0,9895.58569088328
456,769,-1.0,9902.91616675871
456,770,-1.0,9907.269326157471
456,771,-1.0,9912.931386954282
456,772,0.0,9909.957507538196
456,773,1.0,9908.2052679115
456,774,1.0,9912.500253549879
456,775,1.0,9916.805538486116
456,776,1.0,9920.362891982455
456,777,1.0,9916.570987729945
456,778,1.0,9910.965097075
456,779,1.0,9906.142982975709
456,780,1.0,9900.403780164583
456,781,1.0,9894.2501067957
456,782,1.0,9894.037423342503
456,783,1.0,9893.057768536924
456,784,1.0,9888.933837886907
456,785,1.0,9881.866182627415
456,786,1.0,9879.116354112966
456,787,1.0,9872.039591314378
456,788,1.0,9866.945446783468
456,789,1.0,9865.529036697328
456,790,1.0,9870.8845213409
456,791,1.0,9876.292894269667
456,792,1.0,9885.649856235383
456,793,1.0,9886.473533069448
456,794,1.0,9887.320990927945
456,795,1.0,9883.818562947903
456,796,1.0,9877.427691281322
456,797,0.0,9874.464462973938
456,798,-1.0,9868.591345288502
456,799,-1.0,9869.257865143054
456,800,-1.0,9871.436932298433
456,801,-1.0,9870.572774139215
456,802,-1.0,9871.562242604832
456,803,-1.0,9870.814795173523
456,804,-1.0,9865.669429460422
456,805,-1.0,9858.188735545311
456,806,-1.0,9851.395830588637
456,807,-1.0,9852.010497930474
456,808,-1.0,9857.560072184539
456,809,-1.0,9866.572305511403
456,810,-1.0,9882.183786016485
456,811,-1.0,9891.489094263608
456,812,-1.0,9892.795416837465
456,813,-1.0,9886.413350865278
456,814,-1.0,9867.951118281337
456,815,-1.0,9845.066448550502
456,816,-1.0,9832.345348782219
456,817,-1.0,9819.379367147078
456,818,-1.0,9813.051721189495
456,819,-1.0,9817.939828536031
456,820,-1.0,9822.26385903307
456,821,-1.0,9822.804749294557
456,822,-1.0,9821.104867112956
456,823,-1.0,9817.930637554424
456,824,-1.0,9814.600324977237
456,825,-1.0,9806.833516147037
456,826,-1.0,9803.93731496074
456,827,-1.0,9808.735656357623
456,828,-1.0,9816.26104017086
456,829,-1.0,9821.760236042668
456,830,-1.0,9823.444178223459
456,831,-1.0,9822.35955601673
456,832,-1.0,9814.16996587726
456,833,-1.0,9811.575980456515
456,834,-1.0,9813.004345915115
456,835,-1.0,9832.024826871959
456,836,-1.0,9842.965566197874
